Tijdstempel,What's your age ?,My mother tongue is...,Where do you live ?,Who is your (main) broker,What is your FIRE target date?,My main strategy is investing in... (you can only select one),... but my portfolio also contains... (you can select multiple),How big is your emergency fund?,How big is your portfolio ? (Not including your home),What is your FIRE target (portfolio size),"How much do you save each month? (choose closest)(Netto savings rate. Or in other words, how much of the money you get every month can you save?",What is your savings rate ?,I answer these questions as a....
21-7-2021 16:07:20,I am in my 30's,,Province of East Flanders,"Just starting out, still have to choose one",Before 55 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),,More then 20.000€,Between 25 and 50k€,,Up to 3000€,Less then 55% (but more then above answer),couple trying to reach FIRE (2 person)
21-7-2021 16:07:27,I am in my 30's,....French,Province of Luxembourg,DeGiro,Before 40 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Crypto currency,4.000-6.000€,Between 600 and 700k€,Between 1M€ and 1.2M€,Up to 500€,Less then 35% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 16:07:52,I am in my 40's,....French,Province of Liège,Keytrade,Before 50 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),,14.000-16.000€,More then 1M€,Between 1.2M€ and 1.4M€,Up to 2000€,Less then 35% (but more then above answer),couple trying to reach FIRE for multiple people (3 persons or more)(example: long term taking care of  disabled kids)
21-7-2021 16:08:16,I am in my 20's,...Dutch,Province of East Flanders,"TD Ameritrade, M1 Finance",Before 55 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Commodities: Gold - Silver - Platinum - etc...,12.000-14.000€,Between 50 and 75k€,Between 1.8M€ and 2M€,Up to 900€,Less then 50% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 16:08:37,I am in my 30's,...Dutch,Province of East Flanders,DeGiro,I don't think I will FIRE before I officially retire (67),Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Crypto currency, Physical real estate (house - apartment - garage - agricultural - etc...), Single shares or bonds, TAK23 Pension saving, P2P-lending",More then 20.000€,Between 300 and 350k€,Between 1M€ and 1.2M€,Up to 1000€,Less then 35% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 16:09:01,I am in my 20's,...English,Province of Flemish Brabant,Bolero,I don't think I will FIRE before I officially retire (67),Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),ETF's with high exposure to single industries/sector,2.000-4.000€,Between 0 and 25k€,,Up to 1200€,Less then 60% (but more then above answer),single person trying to reach FI
21-7-2021 16:09:43,I am in my 20's,...Dutch,Province of East Flanders,DeGiro,I don't think I will FIRE before I officially retire (67),Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Physical real estate (house - apartment - garage - agricultural - etc...),More then 20.000€,Between 25 and 50k€,Between 1M€ and 1.2M€,Up to 1000€,Less then 50% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 16:11:03,I am in my 20's,...Dutch,Province of Flemish Brabant,DeGiro,Before 50 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Single shares or bonds,12.000-14.000€,Between 0 and 25k€,Between 1M€ and 1.2M€,Up to 600€,Less then 30% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 16:13:25,I am in my 20's,Bilingual ,Province of Flemish Brabant,Bolero,Before 60 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Single shares or bonds, TAK21 Pension saving, TAK23 Pension saving",10.000-12.000€,Between 25 and 50k€,Between 1M€ and 1.2M€,Up to 1400€,,single person trying to reach FIRE (1 person)
21-7-2021 16:14:43,I am in my 20's,...Dutch,Province of East Flanders,DeGiro,Before 55 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Crypto currency,14.000-16.000€,Between 0 and 25k€,Between 1M€ and 1.2M€,Up to 1000€,Less then 65% (but more then above answer),couple trying to reach FIRE (2 person)
21-7-2021 16:16:54,I am in my 30's,...Dutch,Province of East Flanders,DeGiro,Before 60 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Physical real estate (house - apartment - garage - agricultural - etc...), TAK21 Pension saving",12.000-14.000€,Between 0 and 25k€,Between 500 and 550k€,Up to 800€,Less then 40% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 16:17:25,I am in my 30's,...Dutch,Province of Flemish Brabant,BinckBank,Before 45 years of age,Single shares or bonds,Physical real estate (house - apartment - garage - agricultural - etc...),4.000-6.000€,More then 1M€,Between 2.8M€ and 3M€,Up to 2000€,Less then 25% (but more then above answer),couple trying to reach FIRE (2 person)
21-7-2021 16:19:02,I am in my 40's,Middle-Eastern,Province of Flemish Brabant,DeGiro,Before 50 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Broadly diversified bond ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), REIT ETF's (ETF's which buy's shares of multiple REIT's)",0 - 2.000€,Between 400 and 450k€,Between 400 and 450k€,Up to 2600€,Less then 75% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 16:20:06,I am in my 40's,...Dutch,Province of Limburg,Bolero,Before 60 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Broadly diversified bond ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Physical real estate (house - apartment - garage - agricultural - etc...)",10.000-12.000€,Between 75 and 100k€,Between 200 and 250k€,Up to 800€,Less then 30% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 16:24:18,I am in my 20's,....French,Province of Hainaut,DeGiro,,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),,4.000-6.000€,Between 200 and 250k€,Between 550 and 600k€,Up to 1000€,Less then 50% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 16:24:58,I am in my 30's,...Dutch,Province of East Flanders,BinckBank,Before 60 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Single shares or bonds, TAK21 Pension saving, TAK23 Pension saving",10.000-12.000€,Between 25 and 50k€,Between 900 and 1M€,Up to 1200€,Less then 35% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 16:26:41,I am in my 20's,...Dutch,Province of Antwerp,DeGiro,Before 67 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Single shares or bonds,2.000-4.000€,Between 0 and 25k€,,Up to 100€,,
21-7-2021 16:27:20,I am in my 20's,...Dutch,Province of East Flanders,DeGiro,I don't think I will FIRE before I officially retire (67),Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),,More then 20.000€,Between 0 and 25k€,Between 1M€ and 1.2M€,Up to 1100€,Less then 50% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 16:27:29,I am in my 20's,....French,Brussels Capital Region,"Just starting out, still have to choose one",Before 40 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),,4.000-6.000€,Between 0 and 25k€,Between 450 and 500k€,Up to 500€,Less then 45% (but more then above answer),couple trying to reach FIRE (2 person)
21-7-2021 16:28:28,I am in my 20's,...English,Brussels Capital Region,Nutmeg,Before 40 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),REIT ETF's (ETF's which buy's shares of multiple REIT's),2.000-4.000€,Between 0 and 25k€,Between 500 and 550k€,Up to 500€,Less then 55% (but more then above answer),couple trying to reach FIRE (2 person)
21-7-2021 16:33:40,I am in my 20's,...Dutch,Province of West Flanders,DeGiro,Before 55 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Nothing,10.000-12.000€,Between 0 and 25k€,Between 1M€ and 1.2M€,Up to 1000€,Less then 40% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 16:34:08,I am in my 50's,...Dutch,Province of Limburg,Bolero,I don't think I will FIRE before I officially retire (67),Single shares or bonds,Broadly diversified bond ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),More then 20.000€,Between 150 and 200k€,Between 1.8M€ and 2M€,Up to 2000€,Less then 75% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 16:35:13,I am in my 20's,...Dutch,Province of Limburg,"Just starting out, still have to choose one",Before 50 years of age,Physical real estate (house - apartment - garage - agricultural - etc...),"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Broadly diversified bond ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...)",10.000-12.000€,Between 0 and 25k€,Between 1M€ and 1.2M€,Up to 1000€,Less then 30% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 16:35:35,I am in my 30's,...Dutch,Province of Antwerp,DeGiro,Before 45 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Crypto currency, Single shares or bonds",8.000-10.000€,Between 0 and 25k€,Between 400 and 450k€,Up to 1100€,Less then 50% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 16:35:42,I am in my 20's,...Dutch,Province of East Flanders,BinckBank,Before 60 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Equity REIT's (investment company investing in Real Estate),2.000-4.000€,Between 25 and 50k€,Between 2.4M€ and 2.6M€,Up to 1800€,Less then 85% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 16:36:04,I am in my 40's,...Dutch,Province of East Flanders,BinckBank,Before 45 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Single shares or bonds,More then 20.000€,Between 150 and 200k€,Between 500 and 550k€,Up to 500€,Less then 50% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 16:38:24,I am in my 20's,....French,I am living in another country,DeGiro,Before 35 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Single shares or bonds,10.000-12.000€,Between 25 and 50k€,Between 1M€ and 1.2M€,Up to 1000€,Less then 20% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 16:39:03,I am in my 30's,...Dutch,Province of Antwerp,DeGiro,I don't think I will FIRE before I officially retire (67),Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Crypto currency, Single shares or bonds",More then 20.000€,Between 0 and 25k€,Between 1M€ and 1.2M€,Up to 900€,Less then 45% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 16:39:50,I am in my 40's,...Dutch,Province of Antwerp,DeGiro,Before 60 years of age,Single shares or bonds,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),More then 20.000€,Between 125 and 150k€,Between 500 and 550k€,Up to 1500€,Less then 30% (but more then above answer),couple trying to reach FIRE (2 person)
21-7-2021 16:39:51,I am in my 30's,...English,Province of Flemish Brabant,DeGiro,Before 40 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Crypto currency, Single shares or bonds",12.000-14.000€,Between 25 and 50k€,Between 250 and 300k€,Up to 1100€,Less then 45% (but more then above answer),couple trying to reach FIRE (2 person)
21-7-2021 16:41:03,,,,,,,,,,,,,
21-7-2021 16:42:52,I am in my 30's,...English,Province of Flemish Brabant,DeGiro,Before 40 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Crypto currency, Single shares or bonds",More then 20.000€,Between 50 and 75k€,Between 550 and 600k€,Up to 2400€,Less then 45% (but more then above answer),couple trying to reach FIRE (2 person)
21-7-2021 16:46:28,I am in my 20's,...Dutch,Province of Antwerp,DeGiro,Before 50 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Single shares or bonds,More then 20.000€,Between 0 and 25k€,Between 500 and 550k€,Up to 1000€,Less then 75% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 16:47:46,I am in my 20's,...Dutch,Province of Antwerp,"Just starting out, still have to choose one",Before 55 years of age,Crypto currency,Mutual bond funds,6.000-8.000€,Between 25 and 50k€,Between 150 and 200k€,Up to 1500€,Less then 10% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 16:48:27,I am in my 30's,...Dutch,Province of Antwerp,Bolero,Before 55 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),,More then 20.000€,Between 200 and 250k€,Between 1M€ and 1.2M€,Up to 4000€,Less then 65% (but more then above answer),couple trying to reach FIRE (2 person)
21-7-2021 16:48:48,I am in my 30's,...Dutch,Province of Limburg,"Just starting out, still have to choose one",Before 55 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Crypto currency, Physical real estate (house - apartment - garage - agricultural - etc...), TAK21 Pension saving",8.000-10.000€,Between 50 and 75k€,Between 900 and 1M€,Up to 1000€,Less then 40% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 16:50:07,I am in my 20's,...Dutch,Province of West Flanders,DeGiro,Before 55 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),,8.000-10.000€,Between 0 and 25k€,Between 500 and 550k€,Up to 800€,,single person trying to reach FIRE (1 person)
21-7-2021 16:50:12,I am in my 30's,...Dutch,Province of Flemish Brabant,DeGiro,I don't think I will FIRE before I officially retire (67),Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Single shares or bonds,More then 20.000€,Between 0 and 25k€,Between 500 and 550k€,Up to 1000€,Less then 40% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 16:52:08,I am in my 20's,...Dutch,Province of East Flanders,DeGiro,Before 50 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),,More then 20.000€,Between 0 and 25k€,Between 1M€ and 1.2M€,,,single person trying to reach FIRE (1 person)
21-7-2021 16:54:25,I am in my 30's,...Dutch,Province of East Flanders,Keytrade,I don't think I will FIRE before I officially retire (67),Single shares or bonds,"Mutual bond funds, TAK21 Pension saving, TAK23 Pension saving",8.000-10.000€,Between 0 and 25k€,Between 250 and 300k€,Up to 1200€,,couple trying to reach FIRE (2 person)
21-7-2021 16:58:49,I am in my 20's,Chinese,Province of Antwerp,Private insurer,Before 55 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Alternative investments (Wine - Whiskey - Cars - Arts - etc...), Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Crypto currency, Physical real estate (house - apartment - garage - agricultural - etc...), TAK21 Pension saving, TAK23 Pension saving",More then 20.000€,Between 400 and 450k€,Between 3M€ and 3.5M€,Up to 2000€,Less then 60% (but more then above answer),couple trying to reach FIRE (2 person)
21-7-2021 16:59:58,I am in my 30's,....French,Brussels Capital Region,DeGiro,Before 55 years of age,Single shares or bonds,"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Crypto currency",10.000-12.000€,Between 25 and 50k€,Between 1M€ and 1.2M€,Up to 1000€,Less then 30% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 17:00:43,I am in my 20's,...Dutch,Province of Antwerp,"Just starting out, still have to choose one",I don't think I will FIRE before I officially retire (67),Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),,2.000-4.000€,Between 0 and 25k€,Between 250 and 300k€,Up to 1300€,Less then 75% (but more then above answer),
21-7-2021 17:02:18,I am in my 30's,...Dutch,Province of East Flanders,DeGiro,Before 60 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Crypto currency,8.000-10.000€,Between 0 and 25k€,Between 450 and 500k€,Up to 600€,Less then 25% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 17:02:19,I am in my 30's,...Dutch,Province of East Flanders,Belfius,I don't think I will FIRE before I officially retire (67),Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),,More then 20.000€,Between 100 and 125k€,,Up to 1000€,Less then 50% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 17:04:27,I am in my 20's,...Dutch,Province of East Flanders,Bolero,I don't think I will FIRE before I officially retire (67),Single shares or bonds,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),2.000-4.000€,Between 0 and 25k€,Between 500 and 550k€,Up to 1000€,Less then 50% (but more then above answer),couple trying to reach FIRE (2 person)
21-7-2021 17:04:49,I am in my 20's,...English,Province of Antwerp,DeGiro,Before 45 years of age,Single shares or bonds,"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Crypto currency",14.000-16.000€,Between 25 and 50k€,Between 500 and 550k€,Up to 2600€,More then 95%,couple trying to reach FIRE (2 person)
21-7-2021 17:07:45,I am in my 30's,....French,Province of Liège,Deutsche Bank,Before 50 years of age,Crypto currency,"Alternative investments (Wine - Whiskey - Cars - Arts - etc...), Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...)",12.000-14.000€,Between 100 and 125k€,Between 1M€ and 1.2M€,Up to 500€,Less then 55% (but more then above answer),couple trying to reach FIRE for multiple people (3 persons or more)(example: long term taking care of  disabled kids)
21-7-2021 17:09:37,I am in my 30's,...Dutch,Province of Antwerp,Lynx,Before 50 years of age,Single shares or bonds,Options,,Between 150 and 200k€,Between 1.4M€ and 1.6M€,Up to 800€,Less then 35% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 17:09:47,I am in my 20's,...Dutch,Province of Antwerp,Mexem,Before 40 years of age,Crypto currency,"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Broadly diversified bond ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), TAK21 Pension saving, TAK23 Pension saving",More then 20.000€,Between 100 and 125k€,Above 10M€....,Up to 1800€,Less then 45% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 17:10:09,I am in my 20's,...Dutch,Province of East Flanders,DeGiro,Before 55 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),,8.000-10.000€,Between 125 and 150k€,Between 2.8M€ and 3M€,Up to 2000€,Less then 85% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 17:16:50,I am in my 30's,...Dutch,Province of East Flanders,Bolero,Before 45 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Single shares or bonds,10.000-12.000€,Between 125 and 150k€,Between 600 and 700k€,Up to 1500€,Less then 45% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 17:17:28,I am in my 20's,...Dutch,Province of Flemish Brabant,Bolero,Before 60 years of age,Single shares or bonds,"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Equity REIT's (investment company investing in Real Estate)",More then 20.000€,Between 100 and 125k€,Between 1M€ and 1.2M€,Up to 400€,Less then 40% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 17:22:06,I am in my 20's,...Dutch,Province of East Flanders,Bolero,Before 35 years of age,Crypto currency,Broadly diversified bond ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),8.000-10.000€,Between 250 and 300k€,Between 1M€ and 1.2M€,Up to 1000€,Less then 40% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 17:23:49,I am in my 20's,...Dutch,Province of Limburg,Belfius,Before 50 years of age,Mutual bond funds,"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Mutual share funds",8.000-10.000€,Between 75 and 100k€,Between 400 and 450k€,Up to 100€,Less then 40% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 17:23:59,I am in my 30's,...Dutch,Province of West Flanders,DeGiro,Before 50 years of age,Crypto currency,"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Physical real estate (house - apartment - garage - agricultural - etc...), Ik speel af en toe nekeer met de lotto",2.000-4.000€,Between 25 and 50k€,Between 1M€ and 1.2M€,Up to 500€,Less then 30% (but more then above answer),couple trying to reach FIRE (2 person)
21-7-2021 17:26:34,I am in my 20's,....French,Province of Hainaut,Bolero,Before 60 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Crypto currency, Single shares or bonds",10.000-12.000€,Between 50 and 75k€,Between 2.2M€ and 2.4M€,Up to 1000€,Less then 30% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 17:29:23,I am in my 30's,...Dutch,Province of East Flanders,DeGiro,Before 50 years of age,Physical real estate (house - apartment - garage - agricultural - etc...),Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),12.000-14.000€,Between 200 and 250k€,Between 1M€ and 1.2M€,Up to 2000€,Less then 70% (but more then above answer),couple trying to reach FIRE (2 person)
21-7-2021 17:31:03,I am in my 20's,...Dutch,Province of Antwerp,Bolero,I don't think I will FIRE before I officially retire (67),Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Single shares or bonds,8.000-10.000€,Between 0 and 25k€,Between 600 and 700k€,Up to 600€,Less then 35% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 17:31:15,I am in my 20's,...Dutch,I am living in another country,ABN AMRO,Before 50 years of age,Mutual share funds,,More then 20.000€,Between 0 and 25k€,Between 3M€ and 3.5M€,Up to 1000€,Less then 35% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 17:31:35,I am in my 30's,...Dutch,Province of East Flanders,DeGiro,Before 55 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Crypto currency,More then 20.000€,Between 25 and 50k€,Between 800 and 900k€,Up to 1000€,Less then 25% (but more then above answer),couple trying to reach FIRE (2 person)
21-7-2021 17:31:50,I am in my 20's,...Dutch,Province of Flemish Brabant,"Just starting out, still have to choose one",Before 40 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Crypto currency,2.000-4.000€,Between 0 and 25k€,Between 1M€ and 1.2M€,Up to 1900€,Less then 80% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 17:31:55,,,,,,,,,,,,,
21-7-2021 17:32:05,,,,,,,,,,,,,
21-7-2021 17:32:18,I am in my 30's,...Dutch,Province of East Flanders,DeGiro,Before 55 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Crypto currency,More then 20.000€,Between 25 and 50k€,Between 800 and 900k€,Up to 1000€,Less then 25% (but more then above answer),couple trying to reach FIRE (2 person)
21-7-2021 17:32:22,I am in my 20's,...Dutch,Province of East Flanders,Bolero,Before 50 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"TAK21 Pension saving, TAK23 Pension saving",More then 20.000€,Between 0 and 25k€,Between 600 and 700k€,Up to 1000€,Less then 50% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 17:32:41,,,,,,,,,,,,,
21-7-2021 17:38:22,I am in my 20's,...Dutch,Province of East Flanders,BNP Paribas Fortis,Before 50 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Physical real estate (house - apartment - garage - agricultural - etc...), Single shares or bonds, TAK21 Pension saving",More then 20.000€,Between 25 and 50k€,Between 1M€ and 1.2M€,Up to 700€,Less then 35% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 17:42:38,I am in my 20's,Dutch and French,Brussels Capital Region,BinckBank,Before 50 years of age,Physical real estate (house - apartment - garage - agricultural - etc...),"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Crypto currency",More then 20.000€,Between 0 and 25k€,Between 1.4M€ and 1.6M€,Up to 1500€,Less then 65% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 17:43:06,I am in my 20's,...Dutch,Province of East Flanders,DeGiro,Before 50 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),,2.000-4.000€,Between 0 and 25k€,Between 500 and 550k€,Up to 300€,Less then 20% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 17:54:31,I am in my 20's,...Dutch,Province of Antwerp,BinckBank,Before 40 years of age,Commodities: Gold - Silver - Platinum - etc...,Crypto currency,10.000-12.000€,Between 25 and 50k€,Between 1.8M€ and 2M€,Up to 2000€,,single person trying to reach FIRE (1 person)
21-7-2021 17:55:31,I am in my 20's,...Dutch,Province of Flemish Brabant,Belfius,Before 50 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Broadly diversified bond ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Mutual share funds, Physical real estate (house - apartment - garage - agricultural - etc...)",18.000-20.000€,Between 100 and 125k€,Between 550 and 600k€,Up to 400€,Less then 30% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 17:55:47,I am in my 40's,...Dutch,Province of Flemish Brabant,"Just starting out, still have to choose one",I don't think I will FIRE before I officially retire (67),Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Mutual share funds, TAK21 Pension saving",More then 20.000€,Between 25 and 50k€,Between 1M€ and 1.2M€,Up to 600€,,single person trying to reach FIRE (1 person)
21-7-2021 17:56:25,I am in my 40's,...English,Province of Antwerp,DeGiro,Before 60 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Broadly diversified bond ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Single shares or bonds",More then 20.000€,Between 25 and 50k€,Between 300 and 350k€,Up to 1500€,Less then 75% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 18:00:24,I am in my 20's,...Dutch,Province of East Flanders,DeGiro,Before 55 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Crypto currency,10.000-12.000€,Between 25 and 50k€,Between 1M€ and 1.2M€,Up to 800€,Less then 35% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 18:00:50,I am in my 40's,...Dutch,Province of West Flanders,"Just starting out, still have to choose one",Before 60 years of age,Commodities: Gold - Silver - Platinum - etc...,Crypto currency,More then 20.000€,Between 50 and 75k€,Between 700 and 800k€,Up to 700€,Less then 55% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 18:02:39,I am in my 30's,...Dutch,Province of Antwerp,DeGiro,Before 50 years of age,Physical real estate (house - apartment - garage - agricultural - etc...),"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Crypto currency, Physical real estate (house - apartment - garage - agricultural - etc...)",18.000-20.000€,Between 0 and 25k€,Between 400 and 450k€,Up to 700€,,single person trying to reach FIRE (1 person)
21-7-2021 18:04:05,I am in my 30's,...English,Province of Antwerp,DeGiro,I don't think I will FIRE before I officially retire (67),Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Physical real estate (house - apartment - garage - agricultural - etc...), Single shares or bonds, TAK21 Pension saving",More then 20.000€,Between 25 and 50k€,Between 300 and 350k€,Up to 500€,Less then 50% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 18:05:34,,,,,,,,,,,,,
